event,tpos,bank,beta,crush,fwd,xb_fwd,rel,alpha
2022-07-04,4652,ISCTR,-0.13318574154063686,0.02067547096628608,0.11136369969991278,0.14913505627344725,-0.037771356573534476,0.13122636275939645
2022-07-04,4652,SKBNK,-0.06906865178029988,-0.052495501857612537,0.2571429245035579,0.14913505627344725,0.10800786823011066,0.26744348177354405
2022-07-04,4652,TSKB,-0.15469246731100997,-0.010402348505852865,0.18556697976541692,0.14913505627344725,0.036431923491969664,0.20863704958292278
2022-07-04,4652,VAKBN,-0.11194376233923682,-0.07816524490490695,0.0903789903049832,0.14913505627344725,-0.058756065968464055,0.10707372960090669
2022-07-04,4652,YKBNK,-0.08267200217704922,-0.0007498865386846854,0.10071945863631804,0.14913505627344725,-0.048415597637129215,0.11304875233323083
2022-09-28,4710,AKBNK,0.018015484982649124,0.09657033306703577,0.15541729401862625,0.15951199603336552,-0.004094702014739271,0.15254360804953476
2022-09-28,4710,ALBRK,0.07330038008270193,-0.137994978388416,0.13966481155890675,0.15951199603336552,-0.019847184474458768,0.1279725216219106
2022-09-28,4710,GARAN,-0.07794137736755007,-0.04087599814323495,0.1255318709915847,0.15951199603336552,-0.03398012504178083,0.1379644556690724
2022-09-28,4710,HALKB,0.06709149781088135,-0.04604582353797815,0.014306206687290102,0.15951199603336552,-0.14520578934607542,0.003604307954608244
2022-09-28,4710,ICBCT,-0.04342749996236622,0.09637967269255288,0.004538537422879241,0.15951199603336552,-0.15497345861048628,0.011465744624615182
2022-09-28,4710,ISCTR,0.047067311117683815,0.0817636407710357,0.09308529857447212,0.15951199603336552,-0.0664266974588934,0.08557749783016697
2022-09-28,4710,SKBNK,0.11190579670771036,-0.38050616420992434,-0.11518327491269309,0.15951199603336552,-0.2746952709460586,-0.133033591913244
2022-09-28,4710,TSKB,0.20385758262702156,-0.4022226612290146,-0.02390436184362299,0.15951199603336552,-0.1834163578769885,-0.056422091754995934
2022-09-28,4710,VAKBN,0.09996702113985668,0.10711971564543254,0.025568157573007122,0.15951199603336552,-0.1339438384603584,0.009622218493478937
2022-09-28,4710,YKBNK,0.04578910434775966,0.1250085807731739,0.1906116119134602,0.15951199603336552,0.03109961588009469,0.18330770048236902
2023-02-06,4803,AKBNK,0.03022939063763879,0.054853331518913695,0.08024704896236745,0.08536549267633298,-0.005118443713965526,0.07766650213728009
2023-02-06,4803,ALBRK,0.07141775757919697,0.213213121259047,-0.12727271753833747,0.08536549267633298,-0.21263821021467044,-0.13336932959992454
2023-02-06,4803,GARAN,-0.05693080921157674,-0.011185102204697484,0.03283052096101868,0.08536549267633298,-0.052534971715314294,0.03769044753782725
2023-02-06,4803,HALKB,0.042444939826949905,-0.021557222958544453,0.18275161483306301,0.08536549267633298,0.09738612215673004,0.17912828163311814
2023-02-06,4803,ICBCT,-0.02642786219700523,0.0962029781168664,-0.16105265366403676,0.08536549267633298,-0.24641814634036974,-0.15879662618720716
2023-02-06,4803,ISCTR,0.056580588651445024,0.03481192543192391,0.10184294132692462,0.08536549267633298,0.016477448650591642,0.09701291150077708
2023-02-06,4803,SKBNK,0.08776966286872379,0.0572238836304132,-0.06563703463834869,0.08536549267633298,-0.15100252731468167,-0.07312953515117294
2023-02-06,4803,TSKB,0.14878273967211822,0.13305691390321117,-0.019753110491998904,0.08536549267633298,-0.10511860316833188,-0.03245402236584387
2023-02-06,4803,VAKBN,0.03906856948691813,-0.02534172925959277,0.09659084197411016,0.08536549267633298,0.011225349297777187,0.09325573429169985
2023-02-06,4803,YKBNK,0.07620343265505805,0.022722384638610205,0.12725221405388298,0.08536549267633298,0.04188672137755001,0.1207470704816562
2023-05-04,4859,AKBNK,0.004366985143133719,-0.011146220530139361,-0.0707850846981235,-0.10581511805099841,0.03503003335287491,-0.07032299164967586
2023-05-04,4859,ALBRK,0.04590631552304959,-0.01584812207187325,-0.07142856427441002,-0.10581511805099841,0.03438655377658839,-0.06657098207805215
2023-05-04,4859,GARAN,-0.054752490108970285,0.10106125351812933,-0.09330320469460185,-0.10581511805099841,0.012511913356396565,-0.09909684589906867
